Neuron,Instar,Cable length,Postsynapses,synapse density
A02m_a1l,L1,92.759328125,45,0.4851264116462681
A02m_a1r,L1,107.560515625,64,0.5950138824466983
A02n_a1l,L1,90.809953125,62,0.6827445435926712
A02n_a1r,L1,144.12753125,65,0.45098947741811124
A09a_a1l,L1,317.0960625,273,0.8609378427712264
A09a_a1r,L1,362.20325,325,0.897286261235922
A09c_a1l,L1,224.705875,181,0.8054974085568524
A09c_a1r,L1,202.91271875,147,0.7244494130558289
A09l_a1l,L1,192.208859375,173,0.9000625702818231
A09l_a1r,L1,237.7295625,223,0.9380406780498745
A10a_a1l,L1,167.3073125,91,0.543909280713597
A10a_a1r,L1,141.262828125,86,0.608794267688742
A02m_a3l,L3,603.28975,289,0.47904012955632014
A02m_a3r,L3,545.4401875,261,0.4785125958471845
A02n_a3l,L3,647.2475,321,0.49594629565969744
A02n_a3r,L3,516.82075,260,0.5030757762725278
A09a_a3l,L3,1551.99325,1519,0.9787413701702633
A09a_a3r,L3,1532.30025,1508,0.984141326088017
A09c_a3l,L3,1137.114,995,0.8750222053373716
A09c_a3r,L3,1335.79675,1066,0.7980255978314066
A09l_a3l,L3,1028.298625,756,0.7351949926024651
A09l_a3r,L3,920.3363125,702,0.7627646442560637
A10a_a3l,L3,778.301125,477,0.6128733271457112
A10a_a3r,L3,919.8715,587,0.6381326087393728
